Line,Time,Speaker,Discussion
,,,
1,,Peter,this is the new-
2,,Adrian,this is the new-
3,,Peter,ah the completely new one
4,,Adrian,[points to drawing] we’re in there looking out at that bit there you 
5,,,parked just here so what we’re trying to do is to extend the car park 
6,,,here to make an entirely new car park and the idea is that basically you 
7,,,enter here and by signposting you’re directed as a cortege if you like 
8,,,this way the cortege would park there whereas the present cortege 
9,,,would park here and you go into this chapel and have your service 
10,,,where this chapel gets a garden round the back this chapel gets a 
11,,,garden round here
12,,Angela,we’ve put these (images) up
13,,Adrian,I’m impressed
14,,Angela,are you oh well I got those from the website for the-
15,,Adrian,kimble
16,,Angela,from the kimble museum so that people could see what we were 
17,,,trying to do so I copied them to show them what they idea was and 
18,,,where it came from I put them up so that people could see and 
19,0:06:00,,everyone could sort of comment and have some sort of feedback from 
20,,,that just to start with even just at this stage really
21,,Adrian,good well I’ll look forward to hearing the feedback because that’s the 
22,,,purpose of the meeting after all yeah that’s great
23,,Peter,I’m Peter Lloyd by the way
24,,Angela,hello Peter pleased to meet you where are you sitting Chris
25,,Adrian,this is Angela Abbot registrar of the cemetery excuse me for not 
26,,,introducing you we’re still waiting for one we’re waiting for Ben Hill 
27,,Angela,I’ve just recent- I’ve just purchased a new book called british 
28,,,crematoriums: history architecture and landscape
29,,Adrian,oh right
30,,Angela,I tried to go through the sap system it was a complete nightmare so I 
31,,,brought it myself because it’s just a waste of time doing it through sap 
32,,,so I shall get that and I’ll have a read of that as well it’s a recent book
33,,Adrian,[reads] Hilary Granger you told me about Hilary Granger before
34,,Angela,yes she’s been to have a look at our existing we’re mentioned in the 
35,,,book quite a bit with the existing chapel she was quite impressed 
36,0:07:00,,because we’ve also got quite a lot of photographs and other things and 
37,,,plans like the forward plan of extending the chapel originally the original
38,,,idea so that was quite forward thinking in nineteen eighty or seventy 
39,,,whenever seventy eight when they decided on that + so I’ve sent off for 
40,,,that but you try and get them to raise a sap order for it and you get how 
41,,,often will we need the spire books company I said well we’ll never use 
42,,,them again probably why do you need to do that oh for god’s sake
43,,,so I just went out and bought it and the one above as well a history 
44,,,of cremations that’s what we have at home on the bookshelf [all laugh] 
45,,,cheerful reading like you when you go on holiday with your part- your 
46,,,husband and wife + you see a sign for crematorium straight away 
47,,,ignoring them [all laugh] whether you’re abroad or in this country the 
48,,,first thing you do straight away oh not another cemetery they go oh dear 
49,0:08:00,,how dare you + yeah so committed to the cleansing flames is the 
50,,,other one I brought yeah ++ very interesting sorry actually that looks like 
51,,,the one they went to have a look at in nottingham I think when they 
52,,,designed this one they went to quite a few places
53,,Chris,is that the eh ++ drive through one
54,,Angela,no the new ones yeah well that- no I said to you they all look like tescos 
55,,,but Andy said to me you know what they look like are mcdonalds drive 
56,,,through and they do they do look like that they look awful look that’s the 
57,,,new one up in nottingham no inventiveness
58,,Adrian,a lot of people feel at home going to mcdonalds
59,,Angela,yes it’s wrong for me to criticize because they’ve obviously had it 
60,,,designed and it obviously works for them it obviously works for this 
61,,,company and they’ve obviously got somebody that has done the plan 
62,,,and they’ve just reused the design but I cannot understand like she said 
63,,,really there you know should be some well anyway you know it looks 
64,,,like a mcdonalds drive through and they all look near enough the same 
65,,,which is awful shame there’s a about six or seven of them and they’ve all 
66,,,got this sort of mcdonalds drive through tescos don’t know where you 
67,0:09:00,,are sort of look
68,,Adrian,well hopefully we’re offering you something a bit different
69,,Angela,well that’s what my brief is when I’m telling people I’m saying to 
70,,,people
71,,Adrian,and now for something completely different
72,,Angela,yes why not why not take the opportunity to do that
73,,Adrian,exactly but as I was just saying to Peter earlier you know it’s a dream 
74,,,come true for an architect to do such a project so I’m very excited by it 
75,,,erm the purpose of the meeting as I see it is to obtain your feedback to the 
76,,,design having received erm Chris’s order for to work to proceed up to 
77,,,planning when was it a few weeks ago now and + we thought it would be 
78,,,a very good idea to have another meeting to update everybody as to 
79,,,where we’ve got to and to receive your feedback because the last time 
