id,text,confidence,speakerId,language,adjustedStart,adjustedEnd,start,end
1,1110 sorry.,0.7557,3,en-US,0:00:03.55,0:00:04.8,0:00:03.55,0:00:04.8
2,Put it down somewhere so.Oh thanks yeah. Just just just.That is architecture. Looks like.,0.7998,2,en-US,0:00:09.92,0:00:58.19,0:00:09.92,0:00:12.68
5,No I haven't.,0.7086,3,en-US,0:01:00.24,0:01:00.79,0:01:00.24,0:01:00.79
6,I,0.8345,1,en-US,0:01:01.83,0:01:01.94,0:01:01.83,0:01:01.94
7,"mean we couldn't. We couldn't really feel mother engineers too,because yeah, mostly competition. Yeah.So we thought we just filmed.Kids city architects.",0.7356,2,en-US,0:01:01.95,0:01:15.39,0:01:01.95,0:01:05.01
11,Building designing so,0.8456,1,en-US,0:01:16.99,0:01:19.88,0:01:16.99,0:01:19.88
12,publicly. Touch the council. Yes yeah yeah yeah.So there's some people interested in your comparing how the architectural design process differs from the design,0.8653,2,en-US,0:01:19.89,0:01:32.66,0:01:19.89,0:01:26.38
14,process. General.,0.8264,5,en-US,0:01:32.67,0:01:35.4,0:01:32.67,0:01:35.4
15,"On Monday, but after that.I liked it. I",0.8562,4,en-US,0:01:53.49,0:01:58.1,0:01:53.49,0:01:54.78
17,mean if that's it's OK.Operating the time at time scale.Up to Christmas really. We,0.7861,2,en-US,0:01:58.11,0:02:05.27,0:01:58.11,0:02:00.93
20,can do the filming and after that it would.,0.8899,4,en-US,0:02:05.28,0:02:07.63,0:02:05.28,0:02:07.63
21,I think it would be too much.So I mean if there is another meeting up to Christmas then that'll be great.,0.9112,6,en-US,0:02:07.79,0:02:12.4,0:02:07.79,0:02:08.77
23,Take it,0.8976,1,en-US,0:02:14.7,0:02:15.15,0:02:14.7,0:02:15.15
24,Libya briefing,0.7612,2,en-US,0:02:15.32,0:02:17.19,0:02:15.32,0:02:17.19
25,meeting with,0.7534,4,en-US,0:02:17.36,0:02:18.17,0:02:17.36,0:02:18.17
26,"his Chinese, yeah. Yeah, that'll be of interest to",0.7461,5,en-US,0:02:18.18,0:02:24.3,0:02:18.18,0:02:24.3
27,"you. Yeah, yeah, that would be yeah.Very very",0.8232,4,en-US,0:02:24.31,0:02:29.63,0:02:24.31,0:02:26.35
29,long time. I,0.8068,6,en-US,0:02:29.64,0:02:30.77,0:02:29.64,0:02:30.77
30,really love repetition. Miscommunication yeah.,0.8027,2,en-US,0:02:30.78,0:02:37.8,0:02:30.78,0:02:37.8
31,"Alright. Good guys and girls.We all had a wallpaper sent by Robert with some information about the project,what",0.7124,1,en-US,0:02:39.22,0:02:52.56,0:02:39.22,0:02:44.897
34,"we're trying to achieve, and just going to summarize some of that.But before I do that,some of you have been friends before all this happened.Perhaps or certainly not in my brain cells.And so one thing that's important.I always bring out right at the start is some of the rules that we'd like to have appeared to within brainstorms.And the most important one,really. Being that we shouldn't criticize ideas of other people or even your own ideas,or you shouldn't think. I know that's not gonna work because XY and Z at this moment in time we're just getting out all the different ideas,all the different avenues, and whether they work or not is something that will sit through later when we try and find the good ones.Basically what you should do instead.Rather, if you start to go down,reducing illness, not going to work,trying to make yourself think well how,how can I change it so it does work?How can I use it as a springboard to do something else?Don't interrupt other people will try not to unless they talk for too long or visiting.I'll keep an eye on that anyway.That's predictable. Hysterectomy.",0.8246,2,en-US,0:02:52.57,0:04:05.25,0:02:52.57,0:02:55.75
53,They'll make it hard for them to transcribe,0.7521,5,en-US,0:04:07.6,0:04:10.42,0:04:07.6,0:04:10.42
