,Line,Time,Speaker,Discussion,Clean,Topics
1,1,0:02:53,AJ,weeee  we've all had a one pager sent by Robert with some information ,weeee one pager sent robert information,robert pager information
2,2,0:03:00,AJ,about the project what we're trying to achieve I'm just going to ,project trying achieve going,achieve project going
4,4,0:03:00,AJ,brainstorms before others haven't perhaps or certainly not in my ,brainstorm others perhaps certainly,brainstorm certainly others
5,5,0:03:00,AJ,brainstorms and so one thing that's important about all this during right at ,brainstorm one thing important right,thing brainstorm important
6,6,0:04:00,AJ,the start is some of the rules that we'd like to have adhered to within ,start rule adhered within,adhered rule start
7,7,0:04:00,AJ,brainstorms the most important one really is being that we shouldn't ,brainstorm important one really,brainstorm important one
8,8,0:04:00,AJ,criticise ideas of other people or even your own ideas or you shouldn't ,criticise idea people even idea,idea criticise people
9,9,0:04:00,AJ,think oh no that's not going to work because x y and z at this moment in ,going work moment,moment work going
10,10,0:04:00,AJ,time we're just getting out all the different ideas all the different avenues ,time getting different idea different avenue,idea time avenue
11,11,0:04:00,AJ,and whether they work or not is something that we'll sift through later er ,whether work something sift later er,sift er work
12,12,0:04:00,AJ,when we try and find a good one      basically what you should do instead ,find good one basically instead,good basically find
13,13,0:04:00,AJ,rather if you start going down the route of thinking oh that's not going to ,rather start going route thinking going,start route thinking
14,14,0:04:00,AJ,work try to make yourself think well how can I change it so it does work ,work make well change doe work,work change doe
15,15,0:04:00,AJ,how can I use it as a springboard to do something else don't interrupt ,use springboard something else interrupt,springboard interrupt something
16,16,0:04:00,AJ,other people or try not to unless they talk for too long obviously I’ll ,people unless talk long obviously,talk people long
17,17,0:04:00,AJ,keep an eye on that anyway,keep eye anyway,eye anyway keep
0,18,0:04:00,Tony,so can I interrupt you anyway     ,interrupt anyway,interrupt anyway
20,20,0:05:00,AJ,I knew someone would say that it's a bit predictable Tony,knew someone would say bit predictable tony,bit tony predictable
1,22,0:05:00,Tony,I’ve sort of looked through the briefing stuff first as well it will make it ,sort looked briefing stuff first well make,sort make stuff
2,23,0:05:00,Tony,hard for them to transcribe what's going on as well if we're all talking at ,hard transcribe going well talking,transcribe talking hard
3,26,0:05:00,Tony,so we should try and be a bit more disciplined with that,bit disciplined,bit disciplined
27,27,0:05:00,AJ,that's right unless there’s something of value of course and then we ,right unless something value course,unless something course
28,28,0:05:00,AJ,suddenly all talk so loud in theory      erm,suddenly talk loud theory erm,talk suddenly erm
30,30,0:05:00,AJ,erm so don't interrupt is a good idea try to explain your ideas but ,erm interrupt good idea explain idea,idea good erm
31,31,0:05:00,AJ,don't go on forever obviously try to break existing mindsets so you've ,go forever obviously break existing mindset,mindset forever break
